Category,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TOTAL fatalities,U,U,U,U,U,U,47298,44391,41947,42736,43514,44507,44734,44412,43863,43975,44279,44874,45292,45121,45028,45640,45063,43346,39562,35978,35040,34568,35693,34691,34637,37372,39747,39368,38501,38203
"Air, total",1286,1290,1456,1473,1382,1595,866,1039,988,811,1057,963,1093,724,670,683,752,1167,616,699,637,601,774,540,568,541,477,499,450,429,442,406,408,347,395,452
U.S. air carrier a,499,261,146,124,1,526,39,62,33,1,239,168,380,8,1,12,92,531,0,22,14,22,50,1,3,52,2,0,0,9,0,0,0,0,1,4
Commuter carrier b,N,N,N,28,37,37,6,99,21,24,25,9,14,46,0,12,5,13,0,2,0,0,2,0,0,0,0,0,0,5,0,1,8,0,0,2
On-demand air taxi c,N,N,N,69,105,76,51,78,68,42,63,52,63,39,45,38,71,60,35,42,64,18,16,43,69,17,17,41,12,25,20,27,19,16,16,32
General aviation d,787,1029,1310,1252,1239,956,770,800,866,744,730,734,636,631,624,621,596,563,581,633,559,563,706,496,496,481,458,458,438,390,422,378,386,331,379,414
"Highway, total",36399,47089,52627,44525,51091,43825,44599,41508,39250,40150,40716,41817,42065,42013,41501,41717,41945,42196,43005,42884,42836,43510,42708,41259,37423,33883,32999,32479,33782,32893,32744,35484,37806,37473,36560,36096
Passenger car occupants,N,N,N,25929,27449,23212,24092,22385,21387,21566,21997,22423,22505,22199,21194,20862,20699,20320,20569,19725,19192,18512,17925,16614,14646,13135,12491,12014,12361,12037,11947,12763,13508,13477,12775,12239
Motorcyclists,790,1650,2280,3189,5144,4564,3244,2806,2395,2449,2320,2227,2161,2116,2294,2483,2897,3197,3270,3714,4028,4576,4837,5174,5312,4469,4518,4630,4986,4692,4594,5029,5337,5229,4985,5014
"Truck occupants e, light",N,N,N,4856,7486,6689,8601,8391,8098,8511,8904,9568,9932,10249,10705,11265,11526,11723,12274,12546,12674,13037,12761,12458,10816,10312,9782,9302,9418,9186,9103,9878,10279,10186,9922,9976
"Truck occupants e, large",N,N,N,961,1262,977,705,661,585,605,670,648,621,723,742,759,754,708,689,726,766,804,805,805,682,499,530,640,697,695,656,665,815,878,885,892
Bus occupants,N,N,N,53,46,57,32,31,28,18,18,33,21,18,38,59,22,34,45,41,42,58,27,36,67,26,44,55,39,54,44,49,64,43,43,U
Pedestrians,7210,7990,8950,7516,8070,6808,6482,5801,5549,5649,5489,5584,5449,5321,5228,4939,4763,4901,4851,4774,4675,4892,4795,4699,4414,4109,4302,4457,4818,4779,4910,5494,6080,6075,6283,6205
Pedalcyclists,490,690,760,1003,965,890,859,843,723,816,802,833,765,814,760,754,693,732,665,629,727,786,772,701,718,628,623,682,734,749,729,829,853,806,857,846
Other incident f,27909,36759,40637,1018,669,628,584,590,485,536,516,501,609,573,540,596,591,581,642,729,732,845,786,772,768,705,709,699,729,701,761,777,870,779,810,U
"Railroad, total g",N,N,N,1560,1417,1036,1297,1194,1170,1279,1226,1146,1039,1063,1008,932,937,971,951,865,891,884,903,851,804,695,735,681,669,702,767,749,760,818,815,899
Train accidents,N,N,N,19,29,8,10,19,6,67,12,14,25,17,4,9,10,6,15,4,13,33,6,9,27,4,8,6,9,11,5,11,7,7,7,5
Highway-rail grade crossing,1364,1534,1440,917,833,582,698,608,579,626,615,579,488,461,431,402,425,421,357,334,371,359,369,339,290,248,261,246,231,232,262,237,255,271,260,298
Trespassers,N,N,N,442,457,391,543,524,533,523,529,494,471,533,536,479,463,511,540,498,472,458,511,470,457,416,441,399,405,427,469,450,467,505,518,570
Other incident h,N,N,N,182,98,55,46,43,52,63,70,59,55,52,37,42,39,33,39,29,35,34,17,33,30,27,25,30,24,32,31,51,31,35,30,26
"Transit, total i",N,N,N,N,N,N,339,300,273,281,320,274,264,275,286,299,295,267,182,202,177,149,162,188,192,233,222,226,265,273,236,254,258,239,260,268
Passenger/Occupant,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,47,51,33,48,20,26,28,44,42,42,67,56,57,29,51,42,40,53
Employee/Worker,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5,8,8,7,9,9,6,11,6,3,5,11,5,4,8,4,11,6
Other incident,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,130,143,136,94,133,153,158,178,174,181,193,206,174,221,199,193,209,209
"Water, total j",N,N,1418,1466,1360,1116,865,924,816,800,784,829,709,821,815,734,716,681,890,844,815,829,883,842,854,865,821,904,765,650,674,700,737,709,682,697
Passenger vessel k,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,48,52,55,52,91,79,65,62,87,96,84,26,14,15,7,8,24,44
Freight vessel l,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,48,39,37,33,37,42,34,30,22,18,14,19,18,41,12,11,10,7
Industrial/Other m,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,44,50,47,47,45,36,46,37,40,32,16,45,32,18,17,32,15,33
Recreational boating n,739,1360,1418,1466,1360,1116,865,924,816,800,784,829,709,821,815,734,701,681,750,703,676,697,710,685,709,736,672,758,651,560,610,626,701,658,633,613
"Pipeline, total",N,N,30,15,19,33,9,14,15,17,22,21,53,10,21,22,38,7,12,12,23,17,21,15,8,13,22,13,12,9,19,11,16,20,7,12
Hazardous liquid pipeline,N,N,4,7,4,5,3,0,5,0,1,3,5,0,2,4,1,0,1,0,5,2,0,4,2,4,1,0,3,1,0,1,3,1,0,0
Gas pipeline,N,N,26,8,15,28,6,14,10,17,21,18,48,10,19,18,37,7,11,12,18,15,21,11,6,9,21,13,9,8,19,10,13,19,7,12
"Other counts, redundant with above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Railroad, killed at public crossing with motor vehicle",1261,1434,1362,768,678,450,567,497,466,517,501,455,377,378,325,309,306,315,271,249,256,258,267,227,199,161,136,138,135,141,144,128,130,140,132,129
"Rail, passenger",N,N,N,40,52,79,202,178,175,292,196,211,177,227,196,188,220,242,226,183,201,202,180,216,229,214,215,189,194,197,219,249,253,308,275,297
Train accidents,U,U,U,2,1,0,0,9,0,55,3,2,14,4,0,1,2,1,7,1,2,14,0,2,25,1,4,0,0,5,3,10,4,5,3,4
Highway-rail grade crossingo,U,U,U,14,12,11,74,54,70,77,57,81,53,72,70,70,72,95,69,72,72,70,74,87,70,82,74,58,62,75,61,82,88,99,82,122
Trespassers,U,U,U,13,31,60,117,107,94,136,131,122,102,138,116,109,135,138,141,104,117,109,100,116,127,125,131,123,121,110,146,150,156,189,176,165
"Rail, other",U,U,U,11,8,8,11,8,11,24,5,6,8,13,10,8,11,8,9,6,10,9,6,11,7,6,6,8,11,7,9,7,5,15,14,6
"Rail, freight",N,N,N,1520,1365,957,1095,1016,995,987,1030,935,862,837,812,745,717,729,725,682,690,682,723,635,575,481,520,492,475,505,551,500,507,510,540,603
Train accidents,U,U,U,17,28,8,10,10,6,12,9,12,11,13,4,8,8,5,8,3,11,19,6,7,2,3,4,6,9,6,2,1,3,2,4,1
Highway-rail grade crossingp,U,U,U,903,821,571,624,554,509,549,558,498,435,390,361,332,353,326,288,262,299,289,295,252,220,166,187,188,169,157,202,155,167,172,178,177
Trespassers,U,U,U,429,426,331,426,417,439,387,398,372,369,395,420,370,328,373,399,394,355,349,411,354,330,291,310,276,284,317,325,300,311,316,342,405
"Rail, other",U,U,U,171,90,47,35,35,41,39,65,53,47,39,27,35,28,25,30,23,25,25,11,22,23,21,19,22,13,25,22,44,26,20,16,20
"Transit, non-rail",N,N,N,N,N,N,110,91,99,85,110,88,112,116,113,103,98,100,93,136,95,92,121,122,88,91,100,96,115,124,101,104,108,98,86,92
"Transit, rail",N,N,N,N,N,N,229,209,174,196,210,186,152,159,173,196,197,167,89,66,82,57,41,66,104,142,122,130,150,149,135,150,150,141,174,176
"Water, Vessel-relatedq",N,N,178,243,206,131,85,30,97,105,77,53,55,48,69,58,53,53,29,44,65,46,45,31,31,34,37,27,25,16,14,46,18,24,32,61
"Water, Not related to vessel casualtiesr",N,N,420,330,281,130,101,56,119,121,131,134,142,120,149,136,134,94,64,76,69,67,70,65,82,72,58,43,60,74,50,28,18,27,17,23
